trade_date,equity,cash,positions
20240927,1206896.0,805424.0,1
20240930,1236272.0,386.0,3
20241008,1356642.0,904443.0,1
20241011,1388487.0,466.0,3
20241014,1424000.0,341.0,3
20241015,1428382.0,542.0,3
20241016,1438606.0,709.0,3
20241017,1396533.0,1497.0,3
20241018,1467526.0,53.0,3
20241021,1531767.0,934.0,3
20241022,1626045.0,255.0,3
20241023,1642972.0,5117.0,3
20241024,1647133.0,282.0,3
20241025,1671066.0,453.0,3
20241028,1682160.0,593.0,3
20241030,1774041.0,1033.0,3
20241031,1838676.0,612.0,3
20241101,1751306.0,228.0,3
20241104,1823820.0,1434.0,3
20241105,1921854.0,709.0,3
20241106,1920939.0,381.0,3
20241107,1927409.0,656.0,3
20241108,1875137.0,91.0,3
20241111,1891914.0,420.0,3
20241112,1813788.0,684.0,3
20241113,1816999.0,162.0,3
20241114,1844031.0,1351.0,3
20241115,1779086.0,112.0,3
20241118,1904312.0,154.0,3
20241119,1938445.0,579.0,3
20241120,2084422.0,327.0,3
20241121,2097704.0,71.0,3
20241122,1995108.0,1266.0,3
20241125,2103639.0,392.0,3
20241126,2196581.0,845.0,3
20241127,2214116.0,291.0,3
20241128,2227094.0,382.0,3
20241129,2238778.0,532.0,3
20241202,2368264.0,559.0,3
20241203,2470660.0,1902.0,3
20241204,2430772.0,461.0,3
20241205,2555470.0,1575.0,3
20241206,2610505.0,333.0,3
20241209,2539213.0,1617.0,3
20241210,2489194.0,268.0,3
20241211,2561857.0,146.0,3
20241212,2711129.0,436.0,3
20241213,2754643.0,283.0,3
20241216,2733151.0,4702.0,3
20241217,2650953.0,2118.0,3
20241218,2743379.0,28.0,3
20241219,2738013.0,241.0,3
20241220,2796785.0,667.0,3
20241223,2833497.0,305.0,3
20241224,2962806.0,528.0,3
20241225,3023460.0,452.0,3
20241226,3324720.0,575.0,3
20241227,3256773.0,670.0,3
20241230,3168649.0,721.0,3
20241231,3325377.0,427.0,3
