ts_code,buy_date,buy_price,sell_date,sell_price,shares,return_pct,pnl
600210,20240417,5.4,20240418,5.6,57600,3.7,11520.0
002682,20240417,4.24,20240418,4.1,73300,-3.3,-10262.0
000524,20240418,9.06,20240419,9.24,34200,1.99,6156.0
002542,20240418,2.19,20240419,2.1,141400,-4.11,-12726.0
000737,20240418,10.09,20240419,10.68,30700,5.85,18113.0
002278,20240419,4.49,20240422,4.94,69800,10.02,31410.0
002207,20240419,5.7,20240422,5.28,55000,-7.37,-23100.0
002343,20240419,7.68,20240422,7.24,40900,-5.73,-17996.0
000430,20240422,6.34,20240423,6.67,48900,5.21,16137.0
600189,20240422,7.99,20240423,7.97,38800,-0.25,-776.0
600593,20240422,22.29,20240423,23.32,13900,4.62,14317.0
002755,20240423,9.53,20240424,9.41,33600,-1.26,-4032.0
600234,20240423,3.84,20240424,4.22,83400,9.9,31692.0
605178,20240423,13.62,20240424,14.03,23500,3.01,9635.0
001389,20240424,50.92,20240425,49.62,6500,-2.55,-8450.0
600281,20240424,3.19,20240425,3.15,104600,-1.25,-4184.0
600605,20240424,24.31,20240425,25.39,13700,4.44,14796.0
603968,20240425,12.39,20240426,12.02,26900,-2.99,-9953.0
001301,20240425,33.95,20240426,34.59,9800,1.89,6272.0
000571,20240425,3.09,20240426,3.11,108200,0.65,2164.0
600203,20240426,6.65,20240429,6.81,50000,2.41,8000.0
601086,20240426,4.7,20240429,4.77,70900,1.49,4963.0
600660,20240426,45.88,20240429,45.48,7200,-0.87,-2880.0
002476,20240429,3.98,20240430,3.88,84500,-2.51,-8450.0
603615,20240429,14.91,20240430,14.24,22500,-4.49,-15075.0
601717,20240429,15.45,20240430,15.46,21800,0.06,218.0
002668,20240430,10.59,20240506,11.12,31000,5.0,16430.0
002884,20240430,19.75,20240506,20.11,16600,1.82,5976.0
601333,20240430,3.12,20240506,3.44,105600,10.26,33792.0
000881,20240506,7.13,20240507,7.28,48700,2.1,7305.0
605169,20240506,8.62,20240507,8.54,40300,-0.93,-3224.0
600984,20240506,3.21,20240507,3.16,108200,-1.56,-5410.0
600592,20240507,10.58,20240508,10.36,32700,-2.08,-7194.0
